Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxNesting,RatioCommentToCode
Function,FixMagAndPaint,2,5,0,5,1,2,0,0,0,3,5,5,0,0,5,3,2,0
Function,FixMenCols,1,16,0,16,2,7,3,0,0,4,12,8,1,0,7,2,1,0.19
Function,FixOffs,3,5,0,5,3,3,0,0,0,3,3,5,2,0,3,1,0,0
Function,FixTitle,4,13,0,13,2,5,0,0,0,3,7,5,1,0,4,2,1,0
Function,FixUsePen,5,5,0,5,1,3,0,0,0,2,2,4,0,0,4,3,2,0
Function,FlipIt,1,1,0,1,1,1,0,0,0,3,3,5,2,0,3,1,0,0
Function,FlipY,1,7,0,7,2,0,0,0,0,1,7,1,1,0,0,1,0,0
Function,FN_HandleEvent,1,17,0,17,2,4,0,0,0,1,10,7,1,2,4,4,2,0
Function,FN_InitReq,0,51,4,47,2,39,0,0,0,5,44,28,1,0,27,1,0,0
Function,FN_InitText,0,31,1,30,0,0,0,0,0,1,25,0,0,0,0,1,0,0
Function,FreeAllRAM,4,11,0,11,1,0,0,0,0,2,9,7,1,0,6,4,1,0
Function,FreeBitMap,14,7,0,7,2,0,0,0,0,1,6,1,1,0,0,1,0,0
Function,FreeBMOB,5,6,0,6,1,4,1,0,0,3,5,4,0,0,4,1,0,0.17
Function,FreeFileNames,0,8,0,8,2,2,0,0,0,2,6,5,1,0,4,3,2,0
Function,FreeFonts,3,16,0,15,7,3,1,0,0,2,15,12,8,0,4,2,1,0.07
Function,FreePoly,3,2,0,2,1,1,0,0,0,2,4,3,1,0,2,1,0,0
Function,FreeShowNames,1,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,0,0
Function,FreeSpare,1,4,0,4,1,2,0,0,0,3,2,3,0,0,3,2,1,0
Function,FreeTmpRas,4,4,0,4,1,1,0,0,0,2,2,1,0,0,1,1,0,0
Function,FreeUpMem,1,4,0,4,2,0,0,0,0,1,2,1,1,0,0,1,0,0
Function,frobclr,0,1,0,1,1,1,0,0,0,2,2,2,1,0,1,1,0,0
Function,frobmv,0,1,0,1,1,1,0,0,0,2,2,1,0,0,1,1,0,0
Function,frobsh,1,1,0,1,1,1,0,0,0,2,2,3,2,0,1,1,0,0
Function,GetBrs,1,8,0,8,3,5,1,0,0,5,7,8,3,0,5,2,1,0.13
Function,getch,1,13,0,13,2,3,0,0,0,3,8,5,2,0,3,2,1,0
Function,GetNextCh,2,4,0,4,0,2,0,0,0,1,3,3,0,0,3,2,1,0
Function,GetPushBMsg,3,4,0,4,2,0,0,0,0,1,1,1,1,0,0,1,0,0
Function,GetTimerMsg,2,3,0,3,2,1,0,0,0,2,2,2,1,0,1,1,0,0
Function,GoDown,0,18,1,17,5,12,0,0,0,14,16,21,4,0,17,4,1,0
Function,GoUp,0,15,0,15,6,10,2,0,0,11,16,21,5,0,16,1,0,0.13
Function,GunTheBrush,3,5,0,5,4,3,1,0,0,4,3,6,3,0,3,1,0,0.2
Function,GWriteFlush,0,7,0,7,3,5,1,0,0,3,4,6,2,0,4,2,1,0.14
Function,Half,2,3,0,3,1,2,0,0,0,3,2,4,1,0,3,2,1,0
Function,HelpMe,1,14,0,14,11,12,0,0,0,13,12,23,10,0,13,3,1,0
Function,HideCursor,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0
Function,HookActive,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,hsv2rgb,5,50,2,37,5,45,18,0,0,5,29,44,10,0,34,9,2,0.49
Function,HSVSetsCurrentColor,2,6,0,6,2,4,0,0,0,5,4,5,1,0,4,1,0,0
Function,iabs,1,1,0,1,1,1,0,0,0,1,2,1,0,0,1,2,0,0
Function,IffErr,1,7,0,7,0,0,0,0,0,1,4,0,0,0,0,1,0,0
Function,IMAirBrush,1,3,0,3,2,1,0,0,0,2,1,2,1,0,1,1,0,0
Function,IMCirc,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMCurve1,0,3,0,3,1,1,0,0,0,1,2,1,0,0,1,1,0,0
Function,IMCurve2,0,3,0,3,1,1,0,0,0,1,2,1,0,0,1,1,0,0
Function,IMDraw,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMFCirc,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMFill,0,1,0,1,1,1,0,0,0,3,2,2,0,0,2,1,0,0
Function,IMFOval,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMFPoly2,1,6,0,6,1,4,0,0,0,4,4,4,0,0,4,1,0,0
Function,IMFRect,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
Function,IMGetFPat,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Function,IMGridSpec,0,8,0,8,1,4,0,0,0,4,6,4,0,0,4,1,0,0
Function,IMHBendBrush,1,7,0,7,3,4,0,0,0,4,6,8,2,0,6,2,1,0
Function,IMMagSpec,2,6,0,6,2,3,0,0,0,4,4,4,1,0,3,1,0,0
Function,IMNull,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
