Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"CLIP.C",17,0,15,1,4,0.00,0.00,0,0,,,,8,,,,,,,215,27,138,145,83,34,7,19,,109,142,50,0,92,,10,3,,0.25,34
Static Function,"CLength",,,,,,,,,,,,,,,,,,,3,1,0,1,1,1,0,0,0,2,2,2,1,0,1,1,,0,,0.00,
File,"CONIC.C",11,0,11,0,1,0.00,0.00,0,0,,,,2,,,,,,,239,29,165,54,14,42,0,9,,164,45,41,0,4,,1,0,,0.25,2
Function,"CPClearBut",,,,,,,,,,,,,,,,,,,0,8,0,8,2,2,0,0,0,0,6,5,1,0,4,3,,1,,0.00,
Function,"CPInit",,,,,,,,,,,,,,,,,,,1,32,4,27,3,2,1,0,0,3,21,6,3,0,3,2,,1,,0.04,
Function,"CPShowAct",,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,2,1,2,1,0,1,1,,0,,0.00,
File,"CTRPAN.C",11,0,11,0,2,0.00,0.00,0,0,,,,14,,,,,,,529,86,367,81,196,37,20,27,,353,195,111,0,84,,5,1,,0.10,27
File,"CURBRUSH.C",8,0,8,0,3,0.00,0.00,0,0,,,,10,,,,,,,171,22,118,32,157,16,11,15,,96,99,41,0,58,,11,3,,0.14,26
File,"CURSBMS.C",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,189,22,151,151,151,25,0,0,,5,5,5,0,0,,0,0,,0.17,0
File,"CURSOR.C",3,0,3,0,2,0.00,0.00,0,0,,,,10,,,,,,,74,18,43,18,15,13,0,2,,32,46,28,0,18,,3,1,,0.30,16
Function,"ChangeBMOB",,,,,,,,,,,,,,,,,,,5,54,7,29,5,19,9,4,5,8,25,24,7,0,17,4,,2,,0.31,
Function,"CheapMove",,,,,,,,,,,,,,,,,,,2,7,0,4,1,2,1,1,2,3,3,2,0,0,2,1,,0,,0.25,
Function,"CheckAbort",,,,,,,,,,,,,,,,,,,1,5,0,5,2,3,1,0,0,4,3,6,2,0,4,2,,1,,0.20,
Function,"CheckForKey",,,,,,,,,,,,,,,,,,,0,10,0,10,1,3,0,0,0,3,8,5,1,0,4,2,,1,,0.00,
Function,"ChgABRadius",,,,,,,,,,,,,,,,,,,2,1,0,1,1,1,0,0,0,2,2,1,0,0,1,1,,0,,0.00,
Function,"ChgPane",,,,,,,,,,,,,,,,,,,3,11,0,8,2,5,0,1,2,4,5,8,1,0,7,4,,1,,0.00,
Function,"ChkChgPane",,,,,,,,,,,,,,,,,,,1,13,0,13,3,3,0,0,0,2,8,6,3,1,2,2,,1,,0.00,
Function,"ChkFNRes",,,,,,,,,,,,,,,,,,,5,5,0,5,1,2,0,0,0,2,2,2,0,0,2,2,,1,,0.00,
Function,"CircTypeOps",,,,,,,,,,,,,,,,,,,4,5,0,5,1,2,0,0,0,3,4,2,0,0,2,1,,0,,0.00,
Function,"ClearBMOB",,,,,,,,,,,,,,,,,,,6,11,0,11,1,8,0,0,0,3,8,9,0,0,9,3,,1,,0.00,
Function,"ClearBitMap",,,,,,,,,,,,,,,,,,,3,5,0,5,2,0,0,0,0,1,5,1,1,0,0,1,,0,,0.00,
Function,"ClearBrXform",,,,,,,,,,,,,,,,,,,3,6,0,6,3,3,0,0,0,4,4,5,2,0,3,1,,0,,0.00,
Function,"ClearErase",,,,,,,,,,,,,,,,,,,3,7,0,7,1,3,0,0,0,3,3,3,0,0,3,2,,1,,0.00,
Function,"ClearFB",,,,,,,,,,,,,,,,,,,8,5,0,5,1,4,0,0,0,4,6,8,0,0,8,3,,1,,0.00,
